Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,AvgCH,AvgCD,AvgCA,B365CH,B365CD,B365CA
E0,13/08/23,Arsenal,Nott'm Forest,2,1,H,1.28,5.75,10.00,1.25,6.20,11.50,1.27,6.00,11.00
E0,13/08/23,Chelsea,Liverpool,1,1,D,2.40,3.40,2.90,2.35,3.45,3.05,2.38,3.40,3.00
E0,19/08/23,Man City,Newcastle,1,0,H,1.40,4.75,7.50,1.42,4.90,7.20,1.40,4.80,7.40
E0,20/08/23,Tottenham,Man City,2,2,D,4.50,3.90,1.75,4.60,3.85,1.78,4.55,3.90,1.76
E0,26/08/23,Chelsea,Tottenham,1,1,D,2.15,3.60,3.30,2.20,3.55,3.35,2.18,3.55,3.30
E0,27/08/23,Newcastle,Liverpool,1,2,A,2.90,3.60,2.35,2.95,3.55,2.40,2.92,3.60,2.38
E0,02/09/23,Arsenal,Man City,1,0,H,3.00,3.50,2.35,3.10,3.45,2.38,3.05,3.50,2.36
E0,16/09/23,Chelsea,Newcastle,2,3,A,2.05,3.50,3.60,2.10,3.55,3.55,2.08,3.50,3.55
E0,23/09/23,Newcastle,Arsenal,1,2,A,3.20,3.60,2.15,3.30,3.55,2.18,3.25,3.60,2.16
E0,24/09/23,Liverpool,Tottenham,3,1,H,1.65,4.20,4.75,1.62,4.30,5.00,1.64,4.25,4.90
E0,30/09/23,Man City,Nott'm Forest,2,0,H,1.14,8.50,17.00,1.12,9.00,19.00,1.13,8.75,18.00
E0,01/10/23,Arsenal,Tottenham,2,2,D,1.75,4.10,4.20,1.72,4.20,4.40,1.74,4.15,4.30
